Oligo_ID	Symbol v12
hCM000975	TBP
hCM000976	TBP
hCM000977	TBP
hCM000978	TBP
hCM000979	TBP
hCM000980	HMBS
hCM000981	HMBS
hCM000982	HMBS
hCM000983	HMBS
hCM000984	HMBS
hCM000985	SDHA
hCM000986	B2M
hCM000987	B2M
hCM000988	B2M
hCM000989	B2M
hCM000990	B2M
hCM000991	B2M
hCM000992	HPRT1
hCM000993	HPRT1
hCM000994	HPRT1
hCM000995	HPRT1
hCM000996	HPRT1
hCM000997	HPRT1
hCM000998	TBP
hCM000999	TBP
hCM001000	TBP
hCM001001	TBP
hCM001002	TBP
hCM001003	TBP
hCM001004	HMBS
hCM001005	HMBS
hCM001006	HMBS
hCM001007	HMBS
hCM001008	HMBS
hCM001009	SDHA
hCM001010	B2M
hCM001011	B2M
hCM001012	B2M
hCM001013	B2M
hCM001014	B2M
hCM001015	B2M
hCM001016	B2M
hCM001017	HPRT1
hCM001018	HPRT1
hCM001019	HPRT1
hCM001020	HPRT1
hCM001021	HPRT1
hCM001022	HPRT1
hCM001023	TBP
hCM001024	TBP
hCM001025	TBP
hCM001026	TBP
hCM001027	TBP
hCM001028	TBP
hCM001029	HMBS
hCM001030	HMBS
hCM001031	HMBS
hCM001032	HMBS
hCM001033	SDHA
hCM001034	B2M
hCM001035	B2M
hCM001036	B2M
hCM001037	B2M
hCM001038	B2M
hCM001039	B2M
hCM001040	B2M
hCM001041	HPRT1
hCM001042	HPRT1
hCM001043	HPRT1
hCM001044	HPRT1
hCM001045	HPRT1
hCM001046	HPRT1
hCM001047	TBP
hCM001048	TBP
hCM001049	TBP
hCM001050	TBP
hCM001051	TBP
hCM001052	TBP
hCM001053	HMBS
hCM001054	HMBS
hCM001055	HMBS
hCM001056	HMBS
hCM001057	HMBS
hCM001058	SDHA
hCM001059	SDHA
hCM001060	SDHA
hCM001061	SDHA
hCM001062	SDHA
hCM001063	SDHA
hCM001064	B2M
hCM001065	B2M
hCM001066	B2M
hCM001067	B2M
hCM001068	B2M
hCM001069	B2M
hCT001070	ANXA7
hCT001071	ANXA7
hCT001072	ANXA7
hCT001073	ANXA7
hCT001074	ANXA7
hCT001075	ANXA7
hCT001076	OCRL
hCT001077	OCRL
hCT001078	OCRL
hCT001079	OCRL
hCT001080	OCRL
hCM001081	HMBS
hCM001082	SDHA
hCM001083	SDHA
hCM001084	SDHA
hCM001085	SDHA
hCM001086	SDHA
hCM001087	SDHA
hCM001088	B2M
hCM001089	B2M
hCM001090	B2M
hCM001091	B2M
hCM001092	B2M
hCM001093	B2M
hCT001094	ANXA7
hCT001095	ANXA7
hCT001096	ANXA7
hCT001097	ANXA7
